Wall time,Step,Value
1654011692.8504972,15399,-9368.1318359375
1654011693.2939527,15499,-9295.25390625
1654011693.763843,15599,-9225.4921875
1654011694.185163,15699,-8864.7880859375
1654011694.5996604,15799,-9020.5205078125
1654011695.0026917,15899,-8964.82421875
1654011695.4043941,15999,-8771.142578125
1654011695.8096397,16099,-9087.396484375
1654011696.2406242,16199,-9203.5400390625
1654011696.6611047,16299,-9409.0947265625
1654011697.0765438,16399,-8996.6416015625
1654011697.4744303,16499,-8971.3623046875
1654011697.8700106,16599,-8958.5341796875
1654011698.2809591,16699,-9314.91796875
1654011698.6876585,16799,-9170.33984375
1654011699.0809834,16899,-9241.0751953125
1654011699.4695022,16999,-8936.2861328125
1654011699.8852756,17099,-9229.220703125
1654011700.3071015,17199,-9194.7392578125
1654011700.7109642,17299,-9212.1650390625
1654011701.114182,17399,-9470.939453125
1654011701.5133607,17499,-9264.9921875
1654011701.9383695,17599,-8996.83203125
1654011702.340869,17699,-8995.701171875
1654011702.737585,17799,-9397.1064453125
1654011703.1378596,17899,-9407.2353515625
1654011703.5970716,17999,-9147.025390625
1654011704.0591938,18099,-9181.0244140625
1654011704.4909768,18199,-9072.896484375
1654011704.9598966,18299,-9117.638671875
1654011705.446598,18399,-9014.3330078125
1654011705.8723826,18499,-9030.5400390625
1654011706.3492281,18599,-9043.7314453125
1654011706.8231332,18699,-9231.3525390625
1654011707.2601116,18799,-9098.55859375
1654011707.728736,18899,-9315.8359375
1654011708.1494768,18999,-9031.3876953125
1654011708.562165,19099,-9070.029296875
1654011708.9556544,19199,-8873.962890625
1654011709.3464904,19299,-8933.662109375
1654011709.7636964,19399,-9353.7294921875
1654011710.1947176,19499,-9270.62890625
1654011710.6341183,19599,-9117.35546875
1654011711.0391967,19699,-8934.00390625
1654011711.4777932,19799,-8990.388671875
1654011711.893572,19899,-8917.9814453125
1654011712.3157291,19999,-9132.80078125
1654011712.7375638,20099,-9004.1103515625
1654011713.1357794,20199,-8963.4765625
1654011713.5426817,20299,-9139.2119140625
1654011713.953834,20399,-9217.90234375
1654011714.3499448,20499,-9206.11328125
1654011714.7698984,20599,-8848.9970703125
1654011715.2153137,20699,-9109.728515625
1654011715.665529,20799,-9060.9873046875
1654011716.0750022,20899,-9337.560546875
1654011716.4772062,20999,-8984.859375
1654011716.8838584,21099,-9060.611328125
1654011717.2916093,21199,-8830.755859375
1654011717.6889825,21299,-8990.98046875
1654011718.06529,21399,-9293.8408203125
1654011718.4713397,21499,-8815.193359375
1654011718.8640175,21599,-9069.6748046875
1654011719.2775245,21699,-9341.958984375
1654011719.6763833,21799,-9189.130859375
1654011720.0840974,21899,-9074.9794921875
1654011720.4984164,21999,-9551.75
1654011720.8993633,22099,-9107.9267578125
1654011721.3092368,22199,-9006.13671875
1654011721.6900716,22299,-9206.8740234375
1654011722.0942342,22399,-9390.8701171875
1654011722.4997926,22499,-9407.35546875
1654011722.8946877,22599,-9249.0009765625
1654011723.2890973,22699,-9212.6640625
1654011723.6938581,22799,-9185.6455078125
1654011724.090337,22899,-9054.9091796875
1654011724.487215,22999,-9161.8486328125
1654011724.93026,23099,-8969.7021484375
1654011725.3536797,23199,-9025.4990234375
1654011725.8070686,23299,-9094.294921875
1654011726.2327223,23399,-9017.9296875
1654011726.6556525,23499,-9472.4775390625
1654011727.1169233,23599,-9129.7255859375
1654011727.5502808,23699,-8886.4306640625
1654011728.0102582,23799,-9292.720703125
1654011728.441993,23899,-8945.591796875
1654011728.871191,23999,-9108.9833984375
1654011729.2889888,24099,-9038.177734375
1654011729.7290285,24199,-9006.744140625
1654011730.2156043,24299,-9213.4365234375
1654011730.6598136,24399,-8995.96875
1654011731.142029,24499,-9273.708984375
1654011731.6195683,24599,-9343.333984375
1654011732.0822716,24699,-9145.84375
1654011732.5408566,24799,-9078.79296875
1654011733.0094414,24899,-8911.2978515625
1654011733.434229,24999,-9000.0126953125
1654011733.8694043,25099,-9003.6181640625
1654011734.2945385,25199,-9013.689453125
1654011734.692366,25299,-8777.9140625
1654011735.13178,25399,-9144.263671875
1654011735.5746524,25499,-9152.046875
1654011736.0064719,25599,-9031.375
1654011736.4000604,25699,-8961.4638671875
1654011736.814308,25799,-9143.5712890625
1654011737.2505631,25899,-9190.6513671875
1654011737.7052753,25999,-9222.36328125
1654011738.14165,26099,-9224.751953125
1654011738.5486574,26199,-9009.5537109375
1654011739.0020406,26299,-9385.5966796875
1654011739.4823494,26399,-8967.5595703125
1654011739.907975,26499,-9395.783203125
1654011740.3296723,26599,-8881.958984375
1654011740.7488956,26699,-9228.9365234375
1654011741.1733572,26799,-9225.533203125
1654011741.6334198,26899,-9100.021484375
1654011742.0999603,26999,-9089.69921875
1654011742.5380073,27099,-8902.08203125
1654011743.0053742,27199,-8977.416015625
1654011743.4769757,27299,-9014.2490234375
1654011743.946587,27399,-8868.71484375
1654011744.4140565,27499,-9197.9853515625
1654011744.891528,27599,-9445.4892578125
1654011745.3276844,27699,-8969.759765625
1654011745.7211607,27799,-9324.9306640625
1654011746.1415849,27899,-8963.7958984375
1654011746.583196,27999,-8922.220703125
1654011747.029696,28099,-8999.927734375
1654011747.4595509,28199,-9034.296875
1654011747.9077456,28299,-9045.5029296875
1654011748.335573,28399,-8992.2587890625
1654011748.7280848,28499,-9260.6103515625
1654011749.1516073,28599,-9162.408203125
1654011749.6036022,28699,-9134.044921875
1654011750.0633569,28799,-8815.7890625
1654011750.4760492,28899,-8864.18359375
1654011750.928514,28999,-8971.4189453125
1654011751.3584735,29099,-9085.310546875
1654011751.7877293,29199,-9041.4150390625
1654011752.2334864,29299,-9058.8212890625
1654011752.687006,29399,-9013.978515625
1654011753.1281254,29499,-9011.5703125
1654011753.593886,29599,-9142.142578125
1654011754.099348,29699,-9323.20703125
1654011754.5636983,29799,-9378.9365234375
1654011755.0142174,29899,-8891.96484375
1654011755.4210029,29999,-9141.6103515625
1654011755.8501058,30099,-9259.6767578125
1654011756.2461064,30199,-8983.9599609375
1654011756.6854181,30299,-8807.59765625
1654011757.0830235,30399,-9372.1904296875
1654011757.5276039,30499,-9069.7060546875
1654011757.9726813,30599,-8949.3935546875
1654011758.396482,30699,-9064.3193359375
1654011758.8219268,30799,-9137.318359375
1654011759.245571,30899,-9126.0595703125
1654011759.6464725,30999,-9271.267578125
1654011760.0617733,31099,-9084.248046875
1654011760.4745455,31199,-9190.978515625
1654011760.89304,31299,-9025.1005859375
1654011761.3298059,31399,-8843.185546875
1654011761.7920926,31499,-9133.2177734375
1654011762.2285554,31599,-8851.99609375
1654011762.633232,31699,-8989.447265625
1654011763.0353734,31799,-9173.373046875
1654011763.4695315,31899,-8982.2060546875
1654011763.893738,31999,-8971.474609375
1654011764.3005435,32099,-8908.263671875
1654011764.6880918,32199,-9129.37890625
1654011765.09673,32299,-9400.9013671875
1654011765.5150523,32399,-9354.158203125
1654011765.9138355,32499,-8929.78515625
1654011766.3007805,32599,-8940.4765625
1654011766.7190356,32699,-9132.7978515625
1654011767.1237323,32799,-9120.046875
1654011767.5312045,32899,-8886.7392578125
1654011767.9290102,32999,-9394.822265625
1654011768.3694205,33099,-8987.4755859375
1654011768.8072238,33199,-8811.396484375
1654011769.2618074,33299,-9016.2373046875
1654011769.711277,33399,-9072.826171875
1654011770.151668,33499,-8992.4365234375
1654011770.5739362,33599,-9168.1591796875
1654011770.9635236,33699,-8983.615234375
1654011771.3811576,33799,-9180.9150390625
1654011771.775883,33899,-9006.951171875
1654011772.1944544,33999,-9139.0966796875
1654011772.6010177,34099,-9016.1796875
1654011773.0209017,34199,-9050.822265625
1654011773.4303222,34299,-9047.6357421875
1654011773.866996,34399,-8994.0341796875
1654011774.2827306,34499,-9176.5673828125
1654011774.7159302,34599,-9284.63671875
1654011775.1263065,34699,-9012.0966796875
1654011775.5276976,34799,-9208.9814453125
1654011775.9382794,34899,-8743.35546875
1654011776.3350108,34999,-9044.75390625
1654011776.7231565,35099,-9106.22265625
1654011777.1511743,35199,-8903.7109375
1654011777.5397434,35299,-9334.419921875
1654011777.9345312,35399,-8846.87109375
1654011778.3294368,35499,-8931.7734375
1654011778.7318294,35599,-9335.970703125
1654011779.1459892,35699,-8910.0791015625
1654011779.5322764,35799,-8850.5830078125
1654011779.9378636,35899,-9088.927734375
1654011780.3429353,35999,-8954.6728515625
1654011780.7341917,36099,-9438.8193359375
1654011781.1330128,36199,-9197.01171875
1654011781.539713,36299,-8847.7421875
1654011781.9296908,36399,-8905.0966796875
1654011782.3365097,36499,-9234.9140625
1654011782.7477279,36599,-8792.0771484375
1654011783.1482377,36699,-9145.76171875
1654011783.5521972,36799,-8946.7470703125
1654011783.956285,36899,-8953.9453125
1654011784.444813,36999,-9126.30078125
1654011784.918365,37099,-8956.0380859375
1654011785.4303997,37199,-9076.5537109375
1654011785.917919,37299,-8881.5244140625
